used_car_id,listing_url,car_model,brand,color,fuel_type,price,depreciation_per_year,registration_date,coe_left,mileage,manufactured_year,road_tax_per_year,transmission,dereg_value,omv,coe_value,arf,engine_capacity_cc,power,curb_weight,no_of_owners,vehicle_type,scraped_datetime,posted_datetime,updated_datetime,active
1385902,https://www.sgcarmart.com/used_cars/info.php?ID=1385902&DL=2725&utm_content=SLeligible,MITSUBISHI COLT TURBO VERSION-R,MITSUBISHI,White,Petrol,49800.000000000,12630.000000000,2009-03-10,1431,235000,2009,999.000000000,Auto,10063.000000000,23228.000000000,25525.000000000,23228.000000000,1468,113,1160,6,Sports Car,2025-03-31 13:46:26.460572,2025-03-25,2025-03-25,True
1371096,https://www.sgcarmart.com/used_cars/info.php?ID=1371096&DL=3283&utm_content=SLeligible,MITSUBISHI COLT TURBO VERSION-R,MITSUBISHI,Red,Petrol,54500.000000000,12490.000000000,2009-08-12,1590,160000,2009,999.000000000,Auto,12800.000000000,22425.000000000,29328.000000000,22425.000000000,1468,113,1160,6,Sports Car,2025-04-01 20:20:05.188921,2025-01-28,2025-03-29,True
1295947,https://www.sgcarmart.com/used_cars/info.php?ID=1295947&DL=1068&utm_content=SLeligible,MITSUBISHI COLTPLUS 1.5,MITSUBISHI,Grey,Petrol,43000.000000000,10010.000000000,2009-07-17,1564,145523,2009,1026.000000000,Auto,13099.000000000,18164.000000000,30512.000000000,18164.000000000,1499,77,1130,5,Hatchback,2025-04-01 01:58:53.016284,2025-03-08,2025-03-29,True
1326867,https://www.sgcarmart.com/used_cars/info.php?ID=1326867&DL=2799&utm_content=SLeligible,MITSUBISHI COLTPLUS RLT,MITSUBISHI,White,Petrol,46800.000000000,11980.000000000,2009-02-26,1419,170000,2009,999.000000000,Auto,10051.000000000,23526.000000000,25727.000000000,10986.000000000,1468,106,1190,6,Sports Car,2025-04-01 11:19:02.593505,2025-02-12,2025-03-17,True
1130781,https://www.sgcarmart.com/used_cars/info.php?ID=1130781&DL=1034&utm_content=SLeligible,MITSUBISHI EVO 10 GSR 2.0 SST,MITSUBISHI,Black,Petrol,96800.000000000,25400.000000000,2009-01-22,1385,117051,2009,1815.000000000,Auto,11942.000000000,36110.000000000,31335.000000000,36110.000000000,1998,206,1540,4,Sports Car,2025-04-01 11:51:45.694229,2025-02-08,2025-03-31,True
1318925,https://www.sgcarmart.com/used_cars/info.php?ID=1318925&DL=3729&utm_content=SLeligible,MITSUBISHI EVO 10 RS 2.0 M,MITSUBISHI,Red,Petrol,75800.000000000,24570.000000000,2009-03-17,1124,180000,2009,1815.000000000,Manual,12600.000000000,28974.000000000,40881.000000000,28974.000000000,1998,206,1420,6,Sports Car,2025-04-01 00:20:39.336827,2025-03-14,2025-03-14,True
1364480,https://www.sgcarmart.com/used_cars/info.php?ID=1364480&DL=3163&utm_content=SLeligible,MITSUBISHI EVO-10 GSR 2.0 SST,MITSUBISHI,White,Petrol,88888.000000000,22690.000000000,2009-08-26,1422,197000,2009,1815.000000000,Auto,12502.000000000,44088.000000000,31933.000000000,44088.000000000,1998,206,1550,6,Sports Car,2025-04-01 01:55:45.095380,2025-03-08,2025-03-31,True
1297117,https://www.sgcarmart.com/used_cars/info.php?ID=1297117&DL=3452&utm_content=SLeligible,MITSUBISHI EVO-10 GSR 2.0 SST,MITSUBISHI,Blue,Petrol,94800.000000000,24200.000000000,2009-08-07,1423,142000,2009,1815.000000000,Auto,12511.000000000,45614.000000000,31933.000000000,45614.000000000,1998,206,1550,4,Sports Car,2025-03-31 17:09:03.424063,2025-03-20,2025-03-24,True
1316886,https://www.sgcarmart.com/used_cars/info.php?ID=1316886&DL=1339&utm_content=SLeligible,MITSUBISHI LANCER 1.5 MIVEC GLS 4A/T,MITSUBISHI,Red,Petrol,44800.000000000,11920.000000000,2009-01-02,1365,180000,2009,1026.000000000,Auto,9791.000000000,18835.000000000,26047.000000000,8035.000000000,1499,80,1313,4,Mid-Sized Sedan,2025-03-31 13:14:02.645819,2025-03-25,2025-03-25,True
1383191,https://www.sgcarmart.com/used_cars/info.php?ID=1383191&DL=3758&utm_content=SLeligible,MITSUBISHI LANCER 1.5 MIVEC GLS 4A/T,MITSUBISHI,Black,Petrol,45500.000000000,11520.000000000,2009-03-12,1433,150000,2009,1026.000000000,Auto,10077.000000000,19788.000000000,25525.000000000,19788.000000000,1499,80,1313,3,Mid-Sized Sedan,2025-03-31 23:34:12.995233,2025-03-15,2025-03-31,True
1347898,https://www.sgcarmart.com/used_cars/info.php?ID=1347898&DL=4780&utm_content=SLeligible,MITSUBISHI LANCER 1.6 A,MITSUBISHI,Silver,Petrol,48000.000000000,10470.000000000,2009-11-26,1669,160000,2009,1101.000000000,Auto,14022.000000000,13214.000000000,30574.000000000,13214.000000000,1584,79,1162,1,Mid-Sized Sedan,2025-04-01 02:25:10.374823,2025-03-06,2025-03-20,True
1305212,https://www.sgcarmart.com/used_cars/info.php?ID=1305212&DL=3175&utm_content=SLeligible,MITSUBISHI LANCER 1.6 M,MITSUBISHI,Black,Petrol,44888.000000000,11690.000000000,2009-02-03,1395,155000,2009,1101.000000000,Manual,10005.000000000,12781.000000000,26047.000000000,12781.000000000,1584,79,1162,4,Mid-Sized Sedan,2025-03-31 13:36:51.568698,2025-03-25,2025-03-25,True
1367509,https://www.sgcarmart.com/used_cars/info.php?ID=1367509&DL=1079&utm_content=SLeligible,MITSUBISHI LANCER 1.6 M,MITSUBISHI,Red,Petrol,36800.000000000,9700.000000000,2009-01-15,1379,177300,2009,1101.000000000,Manual,9884.000000000,12837.000000000,26047.000000000,12837.000000000,1584,79,1162,6,Mid-Sized Sedan,2025-03-31 17:08:23.329495,2025-03-20,2025-03-20,True
1355565,https://www.sgcarmart.com/used_cars/info.php?ID=1355565&DL=4559&utm_content=SLeligible,MITSUBISHI LANCER EVO-GSR 2.0 MT ABS D/AB 4WD TURBO,MITSUBISHI,Black,Petrol,104888.000000000,26220.000000000,2009-04-24,1452,50800,2009,1815.000000000,Manual,13207.000000000,44740.000000000,33018.000000000,44740.000000000,1998,217,1565,6,Sports Car,2025-04-01 19:43:28.311699,2025-01-30,2025-01-30,True
1367484,https://www.sgcarmart.com/used_cars/info.php?ID=1367484&DL=3758&utm_content=SLeligible,MITSUBISHI LANCER MIVEC GLS 2.0 5MT,MITSUBISHI,Grey,Petrol,45000.000000000,11510.000000000,2009-02-26,1420,180000,2009,1815.000000000,Manual,12484.000000000,17174.000000000,31933.000000000,17174.000000000,1998,114,1397,3,Mid-Sized Sedan,2025-03-31 17:05:52.786466,2025-03-20,2025-03-31,True
1367484,https://www.sgcarmart.com/used_cars/info.php?ID=1367484&DL=3758&utm_content=SLeligible,MITSUBISHI LANCER MIVEC GLS 2.0 5MT,MITSUBISHI,Grey,Petrol,45000.000000000,11510.000000000,2009-02-26,1420,180000,2009,1815.000000000,Manual,12484.000000000,17174.000000000,31933.000000000,17174.000000000,1998,114,1397,3,Mid-Sized Sedan,2025-03-31 17:06:14.794031,2025-03-20,2025-03-31,True
1284502,https://www.sgcarmart.com/used_cars/info.php?ID=1284502&DL=3142&utm_content=SLeligible,NISSAN GT-R 3.8 A,NISSAN,Black,Petrol,179800.000000000,56770.000000000,2009-01-09,1124,178000,2009,5454.000000000,Auto,12261.000000000,86724.000000000,38712.000000000,86724.000000000,3799,353,1740,6,Sports Car,2025-04-01 02:55:04.404236,2025-03-04,2025-03-29,True
1380528,https://www.sgcarmart.com/used_cars/info.php?ID=1380528&DL=1172&utm_content=SLeligible,NISSAN GT-R 3.8L SMT ABS D/AB 4WD 2DR HID TC,NISSAN,Red,Petrol,225800.000000000,48590.000000000,2009-11-23,1691,97500,2009,5454.000000000,Auto,18182.000000000,106010.000000000,39129.000000000,106010.000000000,3799,357,1745,6,Sports Car,2025-04-01 02:32:15.552280,2025-03-06,2025-03-16,True
1370015,https://www.sgcarmart.com/used_cars/info.php?ID=1370015&DL=3750&utm_content=SLeligible,NISSAN LATIO CVT 1.5L ABS D/AIRBAG 2WD 4DR,NISSAN,Silver,Petrol,34800.000000000,7580.000000000,2009-11-14,1670,150000,2009,1026.000000000,Auto,14039.000000000,19161.000000000,30574.000000000,19161.000000000,1498,80,1130,3,Mid-Sized Sedan,2025-03-30 21:54:33.745550,2025-03-30,2025-03-30,True
1377819,https://www.sgcarmart.com/used_cars/info.php?ID=1377819&DL=3837&utm_content=SLeligible,NISSAN SKYLINE 3.5 A,NISSAN,Black,Petrol,52888.000000000,13150.000000000,2009-11-20,1460,138888,2009,4746.000000000,Manual,13216.000000000,18642.000000000,33018.000000000,18642.000000000,3498,206,1560,3,Sports Car,2025-03-31 16:37:04.377211,2025-03-20,2025-03-24,True
1379514,https://www.sgcarmart.com/used_cars/info.php?ID=1379514&DL=4189&utm_content=SLeligible,NISSAN SUNNY 1.6EXA,NISSAN,Beige,Petrol,38500.000000000,9630.000000000,2009-09-25,1452,149000,2009,1113.000000000,Auto,10210.000000000,13936.000000000,25525.000000000,13936.000000000,1597,81,1110,2,Mid-Sized Sedan,2025-04-01 03:07:12.347863,2025-03-03,2025-03-26,True
1341527,https://www.sgcarmart.com/used_cars/info.php?ID=1341527&DL=4346&utm_content=SLeligible,NISSAN SYLPHY 1.5 4AT,NISSAN,Beige,Petrol,38800.000000000,9730.000000000,2009-03-27,1447,126111,2009,1026.000000000,Auto,10175.000000000,21214.000000000,25525.000000000,21214.000000000,1498,80,1175,4,Mid-Sized Sedan,2025-04-01 10:51:43.469088,2025-02-15,2025-02-15,True
